Gabbiadini,Manolo,Sampdoria
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,42
NON_PEN_XG,0.28,27
TOTAL_SHOTS,3.13,82
ASSISTS,0.20,76
XA,0.19,81
NON_PEN_XG+XA,0.47,48
SHOT_CREATIONS,2.87,74
PASSES_ATTEMPTED,24.60,57
PASS_COMPLETION_PERCENTAGE,68.4,23
PROGRESSIVE_PASSES,2.74,88
PROGRESSIVE CARRIES,2.68,47
DRIBBLES_COMPLETED,0.59,19
TOUCHES_IN_AREA,3.52,6
PROGRESSIVE_PASSES_RECIEVED,4.83,4
PRESSURES,11.68,22
TACKLES,0.52,33
INTERCEPTIONS,0.26,26
BLOCKS,0.59,28
CLEARANCES,0.65,48
AERIAL_DUELS_WON,1.44,37
