Verre,Valerio,Sampdoria
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,13
NON_PEN_XG,0.19,45
TOTAL_SHOTS,2.48,70
ASSISTS,0.09,14
XA,0.08,5
NON_PEN_XG+XA,0.27,20
SHOT_CREATIONS,3.45,60
PASSES_ATTEMPTED,46.51,79
PASS_COMPLETION_PERCENTAGE,68.4,15
PROGRESSIVE_PASSES,4.87,84
PROGRESSIVE CARRIES,6.38,57
DRIBBLES_COMPLETED,1.15,26
TOUCHES_IN_AREA,3.10,28
PROGRESSIVE_PASSES_RECIEVED,7.97,82
PRESSURES,21.17,87
TACKLES,1.42,57
INTERCEPTIONS,0.89,50
BLOCKS,0.97,29
CLEARANCES,0.71,71
AERIAL_DUELS_WON,1.42,86
