Damsgaard,Mikkel,Sampdoria
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,6
NON_PEN_XG,0.11,13
TOTAL_SHOTS,1.38,16
ASSISTS,0.11,20
XA,0.14,37
NON_PEN_XG+XA,0.25,14
SHOT_CREATIONS,3.34,57
PASSES_ATTEMPTED,38.96,51
PASS_COMPLETION_PERCENTAGE,73.2,32
PROGRESSIVE_PASSES,4.19,78
PROGRESSIVE CARRIES,5.72,44
DRIBBLES_COMPLETED,2.17,72
TOUCHES_IN_AREA,3.29,34
PROGRESSIVE_PASSES_RECIEVED,6.36,51
PRESSURES,28.20,99
TACKLES,2.39,95
INTERCEPTIONS,1.64,95
BLOCKS,1.91,94
CLEARANCES,0.85,80
AERIAL_DUELS_WON,1.11,79
