Augello,Tommaso,Sampdoria
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,39
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.20,8
ASSISTS,0.05,31
XA,0.08,54
NON_PEN_XG+XA,0.09,34
SHOT_CREATIONS,1.52,45
PASSES_ATTEMPTED,53.29,56
PASS_COMPLETION_PERCENTAGE,76.5,40
PROGRESSIVE_PASSES,4.72,82
PROGRESSIVE CARRIES,4.08,38
DRIBBLES_COMPLETED,0.66,42
TOUCHES_IN_AREA,0.91,27
PROGRESSIVE_PASSES_RECIEVED,2.00,46
PRESSURES,10.52,20
TACKLES,1.77,34
INTERCEPTIONS,1.27,23
BLOCKS,1.55,25
CLEARANCES,2.31,46
AERIAL_DUELS_WON,1.62,78
