Silva,Adrien,Sampdoria
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,40
NON_PEN_XG,0.03,18
TOTAL_SHOTS,0.54,21
ASSISTS,0.08,61
XA,0.04,22
NON_PEN_XG+XA,0.07,15
SHOT_CREATIONS,1.44,31
PASSES_ATTEMPTED,53.01,58
PASS_COMPLETION_PERCENTAGE,87.6,81
PROGRESSIVE_PASSES,3.83,49
PROGRESSIVE CARRIES,2.97,28
DRIBBLES_COMPLETED,0.58,31
TOUCHES_IN_AREA,0.49,13
PROGRESSIVE_PASSES_RECIEVED,1.24,32
PRESSURES,24.38,92
TACKLES,2.84,81
INTERCEPTIONS,2.35,91
BLOCKS,2.18,91
CLEARANCES,1.19,33
AERIAL_DUELS_WON,0.78,31
