Murru,Nicola,Sampdoria
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.07,82
TOTAL_SHOTS,0.88,77
ASSISTS,0.00,8
XA,0.03,9
NON_PEN_XG+XA,0.10,38
SHOT_CREATIONS,2.04,71
PASSES_ATTEMPTED,47.41,26
PASS_COMPLETION_PERCENTAGE,70.8,10
PROGRESSIVE_PASSES,3.50,47
PROGRESSIVE CARRIES,3.79,30
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,2.19,80
PROGRESSIVE_PASSES_RECIEVED,2.48,66
PRESSURES,15.02,77
TACKLES,2.19,60
INTERCEPTIONS,1.31,27
BLOCKS,3.35,99
CLEARANCES,2.92,76
AERIAL_DUELS_WON,1.17,48
