Tonelli,Lorenzo,Sampdoria
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,67
NON_PEN_XG,0.07,78
TOTAL_SHOTS,0.80,87
ASSISTS,0.00,28
XA,0.01,48
NON_PEN_XG+XA,0.08,73
SHOT_CREATIONS,0.49,43
PASSES_ATTEMPTED,51.39,47
PASS_COMPLETION_PERCENTAGE,83.3,25
PROGRESSIVE_PASSES,2.51,46
PROGRESSIVE CARRIES,1.84,30
DRIBBLES_COMPLETED,0.06,11
TOUCHES_IN_AREA,1.35,90
PROGRESSIVE_PASSES_RECIEVED,0.06,19
PRESSURES,11.07,78
TACKLES,1.84,73
INTERCEPTIONS,1.41,25
BLOCKS,1.96,79
CLEARANCES,4.71,43
AERIAL_DUELS_WON,2.39,43
