Colley,Omar,Sampdoria
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,37
NON_PEN_XG,0.04,41
TOTAL_SHOTS,0.43,40
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.04,21
SHOT_CREATIONS,0.24,6
PASSES_ATTEMPTED,45.97,28
PASS_COMPLETION_PERCENTAGE,83.2,24
PROGRESSIVE_PASSES,2.67,52
PROGRESSIVE CARRIES,2.08,36
DRIBBLES_COMPLETED,0.11,20
TOUCHES_IN_AREA,0.80,50
PROGRESSIVE_PASSES_RECIEVED,0.11,33
PRESSURES,9.11,56
TACKLES,1.55,55
INTERCEPTIONS,2.61,94
BLOCKS,1.63,49
CLEARANCES,5.94,79
AERIAL_DUELS_WON,2.85,63
