Ekdal,Albin,Sampdoria
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,39
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.61,28
ASSISTS,0.04,33
XA,0.03,19
NON_PEN_XG+XA,0.07,14
SHOT_CREATIONS,1.14,16
PASSES_ATTEMPTED,40.56,21
PASS_COMPLETION_PERCENTAGE,83.6,49
PROGRESSIVE_PASSES,3.97,53
PROGRESSIVE CARRIES,2.66,23
DRIBBLES_COMPLETED,0.90,60
TOUCHES_IN_AREA,1.27,59
PROGRESSIVE_PASSES_RECIEVED,1.39,38
PRESSURES,22.61,87
TACKLES,2.82,79
INTERCEPTIONS,1.59,50
BLOCKS,2.04,86
CLEARANCES,1.88,75
AERIAL_DUELS_WON,1.59,68
