Barnes,Harvey,Leicester City
AM,LAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,77
NON_PEN_XG,0.25,69
TOTAL_SHOTS,2.56,75
ASSISTS,0.25,73
XA,0.11,15
NON_PEN_XG+XA,0.36,42
SHOT_CREATIONS,2.95,38
PASSES_ATTEMPTED,29.73,15
PASS_COMPLETION_PERCENTAGE,74.5,41
PROGRESSIVE_PASSES,2.56,28
PROGRESSIVE CARRIES,8.58,87
DRIBBLES_COMPLETED,1.25,30
TOUCHES_IN_AREA,5.66,82
PROGRESSIVE_PASSES_RECIEVED,7.16,66
PRESSURES,11.00,10
TACKLES,1.10,31
INTERCEPTIONS,0.57,18
BLOCKS,1.17,52
CLEARANCES,0.46,41
AERIAL_DUELS_WON,0.89,69
