Vardy,Jamie,Leicester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,35
NON_PEN_XG,0.38,58
TOTAL_SHOTS,2.40,50
ASSISTS,0.16,64
XA,0.13,55
NON_PEN_XG+XA,0.50,57
SHOT_CREATIONS,1.89,29
PASSES_ATTEMPTED,14.28,1
PASS_COMPLETION_PERCENTAGE,70.1,34
PROGRESSIVE_PASSES,1.08,23
PROGRESSIVE CARRIES,2.37,40
DRIBBLES_COMPLETED,0.78,30
TOUCHES_IN_AREA,5.34,59
PROGRESSIVE_PASSES_RECIEVED,6.64,34
PRESSURES,10.71,18
TACKLES,0.38,14
INTERCEPTIONS,0.30,30
BLOCKS,0.57,25
CLEARANCES,0.78,65
AERIAL_DUELS_WON,1.75,52
