Lookman,Ademola,Leicester City
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,17
NON_PEN_XG,0.17,31
TOTAL_SHOTS,1.93,46
ASSISTS,0.10,19
XA,0.18,57
NON_PEN_XG+XA,0.35,40
SHOT_CREATIONS,3.63,67
PASSES_ATTEMPTED,39.76,56
PASS_COMPLETION_PERCENTAGE,74.7,44
PROGRESSIVE_PASSES,3.69,62
PROGRESSIVE CARRIES,6.41,59
DRIBBLES_COMPLETED,2.34,82
TOUCHES_IN_AREA,5.02,74
PROGRESSIVE_PASSES_RECIEVED,7.19,68
PRESSURES,17.97,66
TACKLES,1.49,61
INTERCEPTIONS,0.98,60
BLOCKS,1.42,70
CLEARANCES,0.34,26
AERIAL_DUELS_WON,0.24,11
