Pérez,Ayoze,Leicester City
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,27
NON_PEN_XG,0.29,82
TOTAL_SHOTS,2.14,59
ASSISTS,0.28,82
XA,0.15,39
NON_PEN_XG+XA,0.44,66
SHOT_CREATIONS,3.49,61
PASSES_ATTEMPTED,36.24,39
PASS_COMPLETION_PERCENTAGE,77.4,57
PROGRESSIVE_PASSES,3.35,52
PROGRESSIVE CARRIES,5.91,48
DRIBBLES_COMPLETED,1.50,44
TOUCHES_IN_AREA,3.77,47
PROGRESSIVE_PASSES_RECIEVED,7.97,82
PRESSURES,21.79,93
TACKLES,1.92,82
INTERCEPTIONS,1.21,79
BLOCKS,2.28,98
CLEARANCES,0.36,28
AERIAL_DUELS_WON,0.78,63
