Bertrand,Ryan,Leicester City
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,14
TOTAL_SHOTS,0.21,10
ASSISTS,0.04,27
XA,0.05,24
NON_PEN_XG+XA,0.06,16
SHOT_CREATIONS,1.06,14
PASSES_ATTEMPTED,49.88,37
PASS_COMPLETION_PERCENTAGE,76.9,45
PROGRESSIVE_PASSES,2.85,22
PROGRESSIVE CARRIES,3.71,29
DRIBBLES_COMPLETED,0.09,1
TOUCHES_IN_AREA,1.53,59
PROGRESSIVE_PASSES_RECIEVED,2.17,54
PRESSURES,13.80,66
TACKLES,2.30,65
INTERCEPTIONS,1.11,12
BLOCKS,2.00,61
CLEARANCES,1.96,31
AERIAL_DUELS_WON,0.81,26
