Castagne,Timothy,Leicester City
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,40
NON_PEN_XG,0.03,47
TOTAL_SHOTS,0.21,9
ASSISTS,0.03,16
XA,0.06,31
NON_PEN_XG+XA,0.09,33
SHOT_CREATIONS,1.45,40
PASSES_ATTEMPTED,57.03,69
PASS_COMPLETION_PERCENTAGE,83.5,85
PROGRESSIVE_PASSES,3.50,47
PROGRESSIVE CARRIES,4.57,54
DRIBBLES_COMPLETED,0.60,37
TOUCHES_IN_AREA,1.26,48
PROGRESSIVE_PASSES_RECIEVED,2.68,71
PRESSURES,13.44,61
TACKLES,2.50,73
INTERCEPTIONS,1.13,14
BLOCKS,2.00,61
CLEARANCES,2.39,50
AERIAL_DUELS_WON,1.47,69
