Daka,Patson,Leicester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.71,96
NON_PEN_XG,0.64,97
TOTAL_SHOTS,3.36,87
ASSISTS,0.41,99
XA,0.40,99
NON_PEN_XG+XA,1.04,99
SHOT_CREATIONS,3.16,83
PASSES_ATTEMPTED,18.63,18
PASS_COMPLETION_PERCENTAGE,75.4,68
PROGRESSIVE_PASSES,1.22,33
PROGRESSIVE CARRIES,2.44,42
DRIBBLES_COMPLETED,0.41,7
TOUCHES_IN_AREA,6.82,88
PROGRESSIVE_PASSES_RECIEVED,7.43,47
PRESSURES,16.90,76
TACKLES,0.71,51
INTERCEPTIONS,0.20,12
BLOCKS,0.81,61
CLEARANCES,0.20,10
AERIAL_DUELS_WON,1.53,41
