Schmeichel,Kasper,Leicester City
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.20,14
GOALS_CONCEDED,1.49,44
SAVE_PERCENTAGE,63.6,19
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,20.4,35
TOUCHES,35.71,54
LAUNCH_PERCENTAGE,42.6,49
GOAL_KICKS,6.63,25
AVG_GOAL_KICK_DISTANCE,41.4,33
CROSSES_STOPPED_PERCENTAGE,6.9,44
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.41,18
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.0,14
