Ndidi,Wilfred,Leicester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,52
NON_PEN_XG,0.05,41
TOTAL_SHOTS,0.78,38
ASSISTS,0.11,71
XA,0.04,25
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,1.15,16
PASSES_ATTEMPTED,52.95,57
PASS_COMPLETION_PERCENTAGE,85.8,66
PROGRESSIVE_PASSES,2.62,14
PROGRESSIVE CARRIES,2.11,12
DRIBBLES_COMPLETED,0.45,19
TOUCHES_IN_AREA,0.75,30
PROGRESSIVE_PASSES_RECIEVED,0.78,12
PRESSURES,23.15,89
TACKLES,4.38,99
INTERCEPTIONS,2.54,95
BLOCKS,2.33,94
CLEARANCES,2.99,97
AERIAL_DUELS_WON,2.30,89
