Albrighton,Marc,Leicester City
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,16
NON_PEN_XG,0.06,2
TOTAL_SHOTS,1.06,5
ASSISTS,0.25,75
XA,0.20,67
NON_PEN_XG+XA,0.26,15
SHOT_CREATIONS,3.18,49
PASSES_ATTEMPTED,43.06,66
PASS_COMPLETION_PERCENTAGE,65.8,7
PROGRESSIVE_PASSES,3.68,62
PROGRESSIVE CARRIES,3.99,9
DRIBBLES_COMPLETED,1.36,34
TOUCHES_IN_AREA,1.87,5
PROGRESSIVE_PASSES_RECIEVED,3.79,8
PRESSURES,20.65,85
TACKLES,2.68,97
INTERCEPTIONS,1.67,95
BLOCKS,1.77,89
CLEARANCES,1.01,87
AERIAL_DUELS_WON,0.91,70
