Iheanacho,Kelechi,Leicester City
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.57,86
NON_PEN_XG,0.39,65
TOTAL_SHOTS,3.00,79
ASSISTS,0.31,93
XA,0.24,93
NON_PEN_XG+XA,0.63,82
SHOT_CREATIONS,3.00,79
PASSES_ATTEMPTED,32.26,85
PASS_COMPLETION_PERCENTAGE,78.1,85
PROGRESSIVE_PASSES,2.07,72
PROGRESSIVE CARRIES,3.70,72
DRIBBLES_COMPLETED,1.72,88
TOUCHES_IN_AREA,4.98,43
PROGRESSIVE_PASSES_RECIEVED,9.48,87
PRESSURES,16.26,67
TACKLES,1.06,76
INTERCEPTIONS,0.35,45
BLOCKS,0.97,74
CLEARANCES,0.22,12
AERIAL_DUELS_WON,0.84,18
