Vestergaard,Jannik,Leicester City
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.09,91
TOTAL_SHOTS,0.72,80
ASSISTS,0.00,28
XA,0.01,33
NON_PEN_XG+XA,0.09,84
SHOT_CREATIONS,0.60,58
PASSES_ATTEMPTED,57.50,62
PASS_COMPLETION_PERCENTAGE,86.4,46
PROGRESSIVE_PASSES,2.56,49
PROGRESSIVE CARRIES,3.02,60
DRIBBLES_COMPLETED,0.43,83
TOUCHES_IN_AREA,1.36,91
PROGRESSIVE_PASSES_RECIEVED,0.09,27
PRESSURES,8.69,48
TACKLES,2.60,96
INTERCEPTIONS,1.75,53
BLOCKS,1.62,48
CLEARANCES,5.84,77
AERIAL_DUELS_WON,3.49,84
