Maddison,James,Leicester City
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,78
NON_PEN_XG,0.26,73
TOTAL_SHOTS,3.14,94
ASSISTS,0.29,84
XA,0.23,78
NON_PEN_XG+XA,0.49,75
SHOT_CREATIONS,4.39,84
PASSES_ATTEMPTED,41.69,61
PASS_COMPLETION_PERCENTAGE,75.0,46
PROGRESSIVE_PASSES,3.86,68
PROGRESSIVE CARRIES,5.40,37
DRIBBLES_COMPLETED,1.51,45
TOUCHES_IN_AREA,3.04,27
PROGRESSIVE_PASSES_RECIEVED,5.66,38
PRESSURES,15.25,44
TACKLES,1.31,46
INTERCEPTIONS,0.52,14
BLOCKS,0.65,8
CLEARANCES,0.16,9
AERIAL_DUELS_WON,0.23,10
