"b'Milinkovic-Savic, Sergej'",Lazio
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,97
NON_PEN_XG,0.18,95
TOTAL_SHOTS,2.20,97
ASSISTS,0.26,98
XA,0.21,97
NON_PEN_XG+XA,0.39,98
SHOT_CREATIONS,2.75,84
PASSES_ATTEMPTED,63.25,79
PASS_COMPLETION_PERCENTAGE,79.1,22
PROGRESSIVE_PASSES,4.91,73
PROGRESSIVE CARRIES,5.38,81
DRIBBLES_COMPLETED,0.91,60
TOUCHES_IN_AREA,3.47,97
PROGRESSIVE_PASSES_RECIEVED,5.58,97
PRESSURES,17.68,45
TACKLES,2.46,63
INTERCEPTIONS,1.39,32
BLOCKS,1.68,61
CLEARANCES,1.53,51
AERIAL_DUELS_WON,3.09,97
