Caicedo,Felipe,Lazio
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.48,76
NON_PEN_XG,0.45,79
TOTAL_SHOTS,3.23,83
ASSISTS,0.24,84
XA,0.18,78
NON_PEN_XG+XA,0.63,82
SHOT_CREATIONS,2.99,78
PASSES_ATTEMPTED,21.90,42
PASS_COMPLETION_PERCENTAGE,82.0,94
PROGRESSIVE_PASSES,1.56,54
PROGRESSIVE CARRIES,1.68,15
DRIBBLES_COMPLETED,1.20,66
TOUCHES_IN_AREA,5.86,72
PROGRESSIVE_PASSES_RECIEVED,8.02,60
PRESSURES,13.40,38
TACKLES,1.32,92
INTERCEPTIONS,0.12,1
BLOCKS,0.96,74
CLEARANCES,0.36,26
AERIAL_DUELS_WON,3.11,78
