Acerbi,Francesco,Lazio
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,55
NON_PEN_XG,0.05,57
TOTAL_SHOTS,0.36,26
ASSISTS,0.00,28
XA,0.04,94
NON_PEN_XG+XA,0.09,84
SHOT_CREATIONS,0.96,88
PASSES_ATTEMPTED,68.95,88
PASS_COMPLETION_PERCENTAGE,90.3,81
PROGRESSIVE_PASSES,3.33,74
PROGRESSIVE CARRIES,3.77,78
DRIBBLES_COMPLETED,0.18,42
TOUCHES_IN_AREA,0.69,36
PROGRESSIVE_PASSES_RECIEVED,0.49,91
PRESSURES,8.33,44
TACKLES,1.27,32
INTERCEPTIONS,1.83,61
BLOCKS,1.52,36
CLEARANCES,4.42,34
AERIAL_DUELS_WON,2.57,51
