Escalante,Gonzalo,Lazio
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.08,69
TOTAL_SHOTS,0.84,42
ASSISTS,0.14,80
XA,0.00,1
NON_PEN_XG+XA,0.10,29
SHOT_CREATIONS,1.54,35
PASSES_ATTEMPTED,58.98,73
PASS_COMPLETION_PERCENTAGE,88.4,85
PROGRESSIVE_PASSES,3.77,48
PROGRESSIVE CARRIES,4.47,63
DRIBBLES_COMPLETED,0.84,56
TOUCHES_IN_AREA,0.28,5
PROGRESSIVE_PASSES_RECIEVED,1.26,33
PRESSURES,19.98,68
TACKLES,3.35,93
INTERCEPTIONS,1.82,68
BLOCKS,1.82,72
CLEARANCES,3.21,98
AERIAL_DUELS_WON,1.82,75
