Anderson,Felipe,Lazio
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,49
NON_PEN_XG,0.19,45
TOTAL_SHOTS,1.31,10
ASSISTS,0.21,59
XA,0.22,75
NON_PEN_XG+XA,0.41,59
SHOT_CREATIONS,3.52,64
PASSES_ATTEMPTED,47.36,81
PASS_COMPLETION_PERCENTAGE,77.2,57
PROGRESSIVE_PASSES,3.73,63
PROGRESSIVE CARRIES,8.24,85
DRIBBLES_COMPLETED,2.52,88
TOUCHES_IN_AREA,3.94,51
PROGRESSIVE_PASSES_RECIEVED,4.41,14
PRESSURES,25.31,98
TACKLES,2.99,99
INTERCEPTIONS,1.42,86
BLOCKS,1.79,90
CLEARANCES,0.47,42
AERIAL_DUELS_WON,0.42,25
