Akpa-Akpro,Jean-Daniel,Lazio
CB,CM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.08,64
TOTAL_SHOTS,0.92,48
ASSISTS,0.08,61
XA,0.05,34
NON_PEN_XG+XA,0.13,46
SHOT_CREATIONS,1.17,16
PASSES_ATTEMPTED,29.55,3
PASS_COMPLETION_PERCENTAGE,83.1,45
PROGRESSIVE_PASSES,1.67,2
PROGRESSIVE CARRIES,1.84,7
DRIBBLES_COMPLETED,1.17,77
TOUCHES_IN_AREA,1.34,61
PROGRESSIVE_PASSES_RECIEVED,3.17,85
PRESSURES,29.64,99
TACKLES,3.34,93
INTERCEPTIONS,1.17,21
BLOCKS,2.25,93
CLEARANCES,1.09,27
AERIAL_DUELS_WON,1.17,49
