"b'Marusic, Adam'",Lazio
CB,FB,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,57
NON_PEN_XG,0.02,35
TOTAL_SHOTS,0.45,34
ASSISTS,0.05,29
XA,0.04,14
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.20,20
PASSES_ATTEMPTED,53.69,58
PASS_COMPLETION_PERCENTAGE,85.8,93
PROGRESSIVE_PASSES,2.80,19
PROGRESSIVE CARRIES,4.57,52
DRIBBLES_COMPLETED,0.67,42
TOUCHES_IN_AREA,1.15,42
PROGRESSIVE_PASSES_RECIEVED,2.13,52
PRESSURES,9.01,9
TACKLES,1.51,17
INTERCEPTIONS,1.75,61
BLOCKS,1.77,42
CLEARANCES,2.15,39
AERIAL_DUELS_WON,1.53,72
