Alberto,Luis,Lazio
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,98
NON_PEN_XG,0.15,92
TOTAL_SHOTS,2.05,97
ASSISTS,0.24,96
XA,0.28,99
NON_PEN_XG+XA,0.43,98
SHOT_CREATIONS,4.42,99
PASSES_ATTEMPTED,68.26,88
PASS_COMPLETION_PERCENTAGE,80.8,31
PROGRESSIVE_PASSES,8.49,99
PROGRESSIVE CARRIES,8.94,99
DRIBBLES_COMPLETED,1.17,77
TOUCHES_IN_AREA,1.97,82
PROGRESSIVE_PASSES_RECIEVED,3.94,90
PRESSURES,17.67,45
TACKLES,1.49,13
INTERCEPTIONS,0.75,3
BLOCKS,1.12,13
CLEARANCES,0.35,1
AERIAL_DUELS_WON,0.51,10
