Lazzari,Manuel,Lazio
RB,RM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,68
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.93,82
ASSISTS,0.12,69
XA,0.10,70
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,2.05,72
PASSES_ATTEMPTED,44.85,18
PASS_COMPLETION_PERCENTAGE,81.7,75
PROGRESSIVE_PASSES,1.90,3
PROGRESSIVE CARRIES,7.68,94
DRIBBLES_COMPLETED,1.23,77
TOUCHES_IN_AREA,2.26,82
PROGRESSIVE_PASSES_RECIEVED,3.31,85
PRESSURES,9.31,10
TACKLES,1.30,10
INTERCEPTIONS,1.11,12
BLOCKS,1.17,4
CLEARANCES,1.05,3
AERIAL_DUELS_WON,0.63,16
