Immobile,Ciro,Lazio
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.51,80
NON_PEN_XG,0.45,77
TOTAL_SHOTS,3.42,89
ASSISTS,0.16,65
XA,0.17,74
NON_PEN_XG+XA,0.62,80
SHOT_CREATIONS,3.14,81
PASSES_ATTEMPTED,26.56,68
PASS_COMPLETION_PERCENTAGE,76.7,75
PROGRESSIVE_PASSES,1.61,56
PROGRESSIVE CARRIES,3.47,65
DRIBBLES_COMPLETED,0.86,37
TOUCHES_IN_AREA,6.84,89
PROGRESSIVE_PASSES_RECIEVED,8.92,79
PRESSURES,15.55,59
TACKLES,0.42,21
INTERCEPTIONS,0.26,23
BLOCKS,0.49,16
CLEARANCES,0.28,18
AERIAL_DUELS_WON,0.72,13
