Palacios,Exequiel,Leverkusen
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,60
NON_PEN_XG,0.02,11
TOTAL_SHOTS,0.26,3
ASSISTS,0.07,52
XA,0.14,88
NON_PEN_XG+XA,0.16,63
SHOT_CREATIONS,2.25,68
PASSES_ATTEMPTED,68.34,89
PASS_COMPLETION_PERCENTAGE,87.2,78
PROGRESSIVE_PASSES,5.15,78
PROGRESSIVE CARRIES,2.91,27
DRIBBLES_COMPLETED,0.59,32
TOUCHES_IN_AREA,0.33,5
PROGRESSIVE_PASSES_RECIEVED,1.19,29
PRESSURES,22.98,88
TACKLES,3.83,98
INTERCEPTIONS,3.57,99
BLOCKS,2.25,93
CLEARANCES,0.99,23
AERIAL_DUELS_WON,0.53,13
