Hrádecký,Lukáš,Leverkusen
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.01,55
GOALS_CONCEDED,1.31,55
SAVE_PERCENTAGE,71.8,67
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,23.7,46
TOUCHES,46.29,95
LAUNCH_PERCENTAGE,35.2,27
GOAL_KICKS,7.15,41
AVG_GOAL_KICK_DISTANCE,39.0,28
CROSSES_STOPPED_PERCENTAGE,8.9,77
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.85,77
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.0,69
