Diaby,Moussa,Leverkusen
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,75
NON_PEN_XG,0.23,60
TOTAL_SHOTS,2.09,57
ASSISTS,0.49,98
XA,0.32,93
NON_PEN_XG+XA,0.54,82
SHOT_CREATIONS,3.23,51
PASSES_ATTEMPTED,34.88,31
PASS_COMPLETION_PERCENTAGE,76.6,52
PROGRESSIVE_PASSES,2.97,37
PROGRESSIVE CARRIES,7.86,81
DRIBBLES_COMPLETED,2.20,74
TOUCHES_IN_AREA,4.80,69
PROGRESSIVE_PASSES_RECIEVED,7.20,68
PRESSURES,10.24,7
TACKLES,0.63,3
INTERCEPTIONS,0.80,38
BLOCKS,0.51,5
CLEARANCES,0.23,14
AERIAL_DUELS_WON,0.17,7
