Schick,Patrik,Leverkusen
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.78,98
NON_PEN_XG,0.62,97
TOTAL_SHOTS,3.29,85
ASSISTS,0.03,12
XA,0.10,34
NON_PEN_XG+XA,0.72,93
SHOT_CREATIONS,1.93,32
PASSES_ATTEMPTED,20.42,27
PASS_COMPLETION_PERCENTAGE,71.6,42
PROGRESSIVE_PASSES,1.05,20
PROGRESSIVE CARRIES,1.76,18
DRIBBLES_COMPLETED,0.92,45
TOUCHES_IN_AREA,6.45,84
PROGRESSIVE_PASSES_RECIEVED,8.58,71
PRESSURES,9.87,9
TACKLES,0.34,10
INTERCEPTIONS,0.20,12
BLOCKS,0.47,15
CLEARANCES,1.05,83
AERIAL_DUELS_WON,3.66,82
