Hincapié,Piero,Leverkusen
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,98
NON_PEN_XG,0.04,61
TOTAL_SHOTS,0.54,46
ASSISTS,0.09,56
XA,0.06,34
NON_PEN_XG+XA,0.10,36
SHOT_CREATIONS,0.99,9
PASSES_ATTEMPTED,56.26,65
PASS_COMPLETION_PERCENTAGE,80.9,70
PROGRESSIVE_PASSES,3.14,33
PROGRESSIVE CARRIES,3.23,17
DRIBBLES_COMPLETED,0.90,56
TOUCHES_IN_AREA,1.08,37
PROGRESSIVE_PASSES_RECIEVED,1.08,13
PRESSURES,15.43,81
TACKLES,1.97,46
INTERCEPTIONS,2.24,90
BLOCKS,2.24,79
CLEARANCES,3.59,94
AERIAL_DUELS_WON,2.87,98
