Wirtz,Florian,Leverkusen
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,82
NON_PEN_XG,0.25,70
TOTAL_SHOTS,1.52,24
ASSISTS,0.43,97
XA,0.29,90
NON_PEN_XG+XA,0.54,83
SHOT_CREATIONS,4.57,87
PASSES_ATTEMPTED,43.42,67
PASS_COMPLETION_PERCENTAGE,77.5,58
PROGRESSIVE_PASSES,4.50,81
PROGRESSIVE CARRIES,6.09,51
DRIBBLES_COMPLETED,2.11,70
TOUCHES_IN_AREA,3.85,50
PROGRESSIVE_PASSES_RECIEVED,8.26,87
PRESSURES,21.46,88
TACKLES,1.09,30
INTERCEPTIONS,1.12,73
BLOCKS,1.02,33
CLEARANCES,0.12,7
AERIAL_DUELS_WON,0.47,30
