Pohjanpalo,Joel,Leverkusen
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.59,90
NON_PEN_XG,0.60,96
TOTAL_SHOTS,3.52,90
ASSISTS,0.00,5
XA,0.21,86
NON_PEN_XG+XA,0.81,96
SHOT_CREATIONS,1.47,11
PASSES_ATTEMPTED,19.50,21
PASS_COMPLETION_PERCENTAGE,72.9,51
PROGRESSIVE_PASSES,1.91,70
PROGRESSIVE CARRIES,1.17,4
DRIBBLES_COMPLETED,0.29,4
TOUCHES_IN_AREA,5.13,48
PROGRESSIVE_PASSES_RECIEVED,6.45,30
PRESSURES,14.22,46
TACKLES,0.88,67
INTERCEPTIONS,0.15,4
BLOCKS,0.29,2
CLEARANCES,1.03,82
AERIAL_DUELS_WON,3.66,82
