Adli,Amine,Leverkusen
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,60
NON_PEN_XG,0.25,69
TOTAL_SHOTS,2.32,66
ASSISTS,0.09,14
XA,0.09,6
NON_PEN_XG+XA,0.34,39
SHOT_CREATIONS,3.09,45
PASSES_ATTEMPTED,34.23,29
PASS_COMPLETION_PERCENTAGE,76.2,50
PROGRESSIVE_PASSES,3.17,45
PROGRESSIVE CARRIES,5.58,41
DRIBBLES_COMPLETED,1.54,47
TOUCHES_IN_AREA,4.29,58
PROGRESSIVE_PASSES_RECIEVED,6.01,43
PRESSURES,21.11,87
TACKLES,2.32,94
INTERCEPTIONS,0.86,48
BLOCKS,2.23,98
CLEARANCES,0.51,48
AERIAL_DUELS_WON,1.12,79
