Alario,Lucas,Leverkusen
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,21
NON_PEN_XG,0.37,55
TOTAL_SHOTS,2.89,75
ASSISTS,0.16,62
XA,0.10,40
NON_PEN_XG+XA,0.46,47
SHOT_CREATIONS,2.66,70
PASSES_ATTEMPTED,21.97,42
PASS_COMPLETION_PERCENTAGE,76.9,77
PROGRESSIVE_PASSES,0.86,12
PROGRESSIVE CARRIES,1.80,21
DRIBBLES_COMPLETED,1.80,90
TOUCHES_IN_AREA,6.49,85
PROGRESSIVE_PASSES_RECIEVED,10.17,93
PRESSURES,11.03,19
TACKLES,0.70,50
INTERCEPTIONS,0.23,18
BLOCKS,0.70,42
CLEARANCES,0.39,27
AERIAL_DUELS_WON,2.35,63
