Kossonou,Odilon,Leverkusen
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,15
TOTAL_SHOTS,0.26,12
ASSISTS,0.07,90
XA,0.04,90
NON_PEN_XG+XA,0.07,54
SHOT_CREATIONS,0.59,58
PASSES_ATTEMPTED,60.57,72
PASS_COMPLETION_PERCENTAGE,89.3,74
PROGRESSIVE_PASSES,2.18,31
PROGRESSIVE CARRIES,2.97,59
DRIBBLES_COMPLETED,0.53,90
TOUCHES_IN_AREA,0.53,19
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,9.83,65
TACKLES,1.72,66
INTERCEPTIONS,1.58,41
BLOCKS,1.98,80
CLEARANCES,4.16,26
AERIAL_DUELS_WON,2.05,25
