Sinkgraven,Daley,Leverkusen
AM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.35,23
ASSISTS,0.00,8
XA,0.11,72
NON_PEN_XG+XA,0.14,64
SHOT_CREATIONS,1.70,53
PASSES_ATTEMPTED,67.92,89
PASS_COMPLETION_PERCENTAGE,83.5,85
PROGRESSIVE_PASSES,4.95,85
PROGRESSIVE CARRIES,8.00,95
DRIBBLES_COMPLETED,1.77,92
TOUCHES_IN_AREA,1.20,44
PROGRESSIVE_PASSES_RECIEVED,1.49,28
PRESSURES,12.67,51
TACKLES,1.98,46
INTERCEPTIONS,1.56,45
BLOCKS,1.98,60
CLEARANCES,1.42,11
AERIAL_DUELS_WON,0.42,6
