Bakker,Mitchel,Leverkusen
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,41
TOTAL_SHOTS,0.42,31
ASSISTS,0.16,82
XA,0.04,19
NON_PEN_XG+XA,0.07,20
SHOT_CREATIONS,1.10,16
PASSES_ATTEMPTED,64.14,86
PASS_COMPLETION_PERCENTAGE,86.8,95
PROGRESSIVE_PASSES,3.29,40
PROGRESSIVE CARRIES,4.02,35
DRIBBLES_COMPLETED,1.04,68
TOUCHES_IN_AREA,1.72,67
PROGRESSIVE_PASSES_RECIEVED,2.35,63
PRESSURES,11.47,31
TACKLES,1.62,23
INTERCEPTIONS,2.24,90
BLOCKS,1.51,22
CLEARANCES,2.56,59
AERIAL_DUELS_WON,1.30,59
