Amiri,Nadiem,Leverkusen
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,89
NON_PEN_XG,0.20,98
TOTAL_SHOTS,2.04,97
ASSISTS,0.16,85
XA,0.09,70
NON_PEN_XG+XA,0.30,93
SHOT_CREATIONS,3.24,93
PASSES_ATTEMPTED,53.89,59
PASS_COMPLETION_PERCENTAGE,81.4,34
PROGRESSIVE_PASSES,5.02,74
PROGRESSIVE CARRIES,6.74,91
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,2.04,84
PROGRESSIVE_PASSES_RECIEVED,4.70,93
PRESSURES,16.88,33
TACKLES,1.10,4
INTERCEPTIONS,0.89,9
BLOCKS,0.94,5
CLEARANCES,0.47,4
AERIAL_DUELS_WON,0.26,2
