Mendy,Ferland,Real Madrid
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,82
NON_PEN_XG,0.04,52
TOTAL_SHOTS,0.50,40
ASSISTS,0.03,20
XA,0.07,38
NON_PEN_XG+XA,0.10,39
SHOT_CREATIONS,1.94,67
PASSES_ATTEMPTED,62.40,84
PASS_COMPLETION_PERCENTAGE,90.3,99
PROGRESSIVE_PASSES,2.53,10
PROGRESSIVE CARRIES,6.75,86
DRIBBLES_COMPLETED,1.34,82
TOUCHES_IN_AREA,2.31,84
PROGRESSIVE_PASSES_RECIEVED,2.69,71
PRESSURES,8.19,3
TACKLES,1.25,8
INTERCEPTIONS,1.16,15
BLOCKS,1.59,27
CLEARANCES,1.41,11
AERIAL_DUELS_WON,0.53,12
