Casemiro,,Real Madrid
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,67
NON_PEN_XG,0.10,77
TOTAL_SHOTS,1.31,78
ASSISTS,0.14,83
XA,0.10,77
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,1.89,54
PASSES_ATTEMPTED,62.03,78
PASS_COMPLETION_PERCENTAGE,85.7,65
PROGRESSIVE_PASSES,3.77,47
PROGRESSIVE CARRIES,2.71,23
DRIBBLES_COMPLETED,0.47,22
TOUCHES_IN_AREA,1.46,67
PROGRESSIVE_PASSES_RECIEVED,1.83,55
PRESSURES,17.04,37
TACKLES,3.03,87
INTERCEPTIONS,2.05,81
BLOCKS,2.15,90
CLEARANCES,2.75,95
AERIAL_DUELS_WON,2.81,94
