Júnior,Vinicius,Real Madrid
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,87
NON_PEN_XG,0.33,87
TOTAL_SHOTS,2.34,68
ASSISTS,0.23,67
XA,0.19,59
NON_PEN_XG+XA,0.52,79
SHOT_CREATIONS,4.28,83
PASSES_ATTEMPTED,39.45,54
PASS_COMPLETION_PERCENTAGE,83.3,92
PROGRESSIVE_PASSES,2.96,36
PROGRESSIVE CARRIES,11.18,97
DRIBBLES_COMPLETED,3.22,95
TOUCHES_IN_AREA,7.60,96
PROGRESSIVE_PASSES_RECIEVED,8.43,90
PRESSURES,21.51,89
TACKLES,1.73,74
INTERCEPTIONS,0.44,7
BLOCKS,1.67,86
CLEARANCES,0.18,11
AERIAL_DUELS_WON,0.15,4
