"b'Jovic, Luka'",Real Madrid
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,51
NON_PEN_XG,0.32,41
TOTAL_SHOTS,2.62,62
ASSISTS,0.22,82
XA,0.12,51
NON_PEN_XG+XA,0.44,41
SHOT_CREATIONS,2.09,42
PASSES_ATTEMPTED,27.98,72
PASS_COMPLETION_PERCENTAGE,79.1,87
PROGRESSIVE_PASSES,2.99,90
PROGRESSIVE CARRIES,1.80,20
DRIBBLES_COMPLETED,2.02,94
TOUCHES_IN_AREA,5.31,58
PROGRESSIVE_PASSES_RECIEVED,7.86,57
PRESSURES,9.88,10
TACKLES,0.37,14
INTERCEPTIONS,0.07,1
BLOCKS,0.60,29
CLEARANCES,0.45,33
AERIAL_DUELS_WON,2.99,74
