Marcelo,,Real Madrid
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,59
TOTAL_SHOTS,1.39,95
ASSISTS,0.11,64
XA,0.11,73
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,3.21,96
PASSES_ATTEMPTED,72.21,93
PASS_COMPLETION_PERCENTAGE,80.4,68
PROGRESSIVE_PASSES,6.75,97
PROGRESSIVE CARRIES,8.57,96
DRIBBLES_COMPLETED,1.29,80
TOUCHES_IN_AREA,3.64,96
PROGRESSIVE_PASSES_RECIEVED,6.11,99
PRESSURES,13.39,61
TACKLES,2.04,51
INTERCEPTIONS,1.07,9
BLOCKS,1.71,39
CLEARANCES,2.36,48
AERIAL_DUELS_WON,0.54,12
