Alaba,David,Real Madrid
CB,CM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,72
NON_PEN_XG,0.05,64
TOTAL_SHOTS,0.86,91
ASSISTS,0.18,99
XA,0.11,99
NON_PEN_XG+XA,0.16,99
SHOT_CREATIONS,1.48,98
PASSES_ATTEMPTED,70.96,91
PASS_COMPLETION_PERCENTAGE,89.0,71
PROGRESSIVE_PASSES,4.45,92
PROGRESSIVE CARRIES,5.15,92
DRIBBLES_COMPLETED,0.29,69
TOUCHES_IN_AREA,1.37,91
PROGRESSIVE_PASSES_RECIEVED,1.75,99
PRESSURES,11.02,77
TACKLES,1.26,31
INTERCEPTIONS,1.46,28
BLOCKS,1.50,35
CLEARANCES,2.94,4
AERIAL_DUELS_WON,0.75,1
