Carvajal,Dani,Real Madrid
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,64
NON_PEN_XG,0.06,74
TOTAL_SHOTS,0.72,67
ASSISTS,0.06,35
XA,0.09,63
NON_PEN_XG+XA,0.15,67
SHOT_CREATIONS,1.94,66
PASSES_ATTEMPTED,71.97,93
PASS_COMPLETION_PERCENTAGE,86.4,94
PROGRESSIVE_PASSES,3.76,56
PROGRESSIVE CARRIES,4.54,50
DRIBBLES_COMPLETED,0.55,29
TOUCHES_IN_AREA,2.27,83
PROGRESSIVE_PASSES_RECIEVED,2.93,77
PRESSURES,14.16,70
TACKLES,2.05,52
INTERCEPTIONS,1.60,51
BLOCKS,2.27,80
CLEARANCES,1.83,25
AERIAL_DUELS_WON,0.66,18
