Gutiérrez,Miguel,Real Madrid
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.14,4
ASSISTS,0.28,98
XA,0.11,75
NON_PEN_XG+XA,0.11,47
SHOT_CREATIONS,1.83,60
PASSES_ATTEMPTED,73.71,95
PASS_COMPLETION_PERCENTAGE,88.6,98
PROGRESSIVE_PASSES,4.21,71
PROGRESSIVE CARRIES,7.44,94
DRIBBLES_COMPLETED,1.54,88
TOUCHES_IN_AREA,1.40,53
PROGRESSIVE_PASSES_RECIEVED,2.11,52
PRESSURES,13.20,58
TACKLES,1.40,13
INTERCEPTIONS,1.54,45
BLOCKS,1.12,3
CLEARANCES,1.97,32
AERIAL_DUELS_WON,0.98,36
