Kroos,Toni,Real Madrid
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,88
NON_PEN_XG,0.07,61
TOTAL_SHOTS,1.50,85
ASSISTS,0.35,99
XA,0.22,98
NON_PEN_XG+XA,0.29,92
SHOT_CREATIONS,4.16,98
PASSES_ATTEMPTED,93.46,99
PASS_COMPLETION_PERCENTAGE,90.6,95
PROGRESSIVE_PASSES,8.89,99
PROGRESSIVE CARRIES,8.36,97
DRIBBLES_COMPLETED,0.67,42
TOUCHES_IN_AREA,1.32,61
PROGRESSIVE_PASSES_RECIEVED,1.44,41
PRESSURES,19.47,62
TACKLES,1.67,22
INTERCEPTIONS,1.00,15
BLOCKS,1.26,23
CLEARANCES,0.44,3
AERIAL_DUELS_WON,0.53,12
