"b'Modric, Luka'",Real Madrid
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,74
NON_PEN_XG,0.10,79
TOTAL_SHOTS,1.44,82
ASSISTS,0.24,97
XA,0.17,92
NON_PEN_XG+XA,0.27,90
SHOT_CREATIONS,2.90,88
PASSES_ATTEMPTED,77.29,95
PASS_COMPLETION_PERCENTAGE,87.7,81
PROGRESSIVE_PASSES,6.50,93
PROGRESSIVE CARRIES,7.58,94
DRIBBLES_COMPLETED,1.51,92
TOUCHES_IN_AREA,1.97,82
PROGRESSIVE_PASSES_RECIEVED,3.48,89
PRESSURES,12.59,6
TACKLES,1.14,5
INTERCEPTIONS,1.78,65
BLOCKS,0.68,1
CLEARANCES,0.54,5
AERIAL_DUELS_WON,0.68,22
