Rodrygo,,Real Madrid
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,36
NON_PEN_XG,0.27,78
TOTAL_SHOTS,2.58,76
ASSISTS,0.35,91
XA,0.17,49
NON_PEN_XG+XA,0.44,66
SHOT_CREATIONS,3.17,49
PASSES_ATTEMPTED,40.98,60
PASS_COMPLETION_PERCENTAGE,83.4,93
PROGRESSIVE_PASSES,3.41,55
PROGRESSIVE CARRIES,8.75,89
DRIBBLES_COMPLETED,1.59,49
TOUCHES_IN_AREA,6.16,87
PROGRESSIVE_PASSES_RECIEVED,8.10,84
PRESSURES,18.49,72
TACKLES,1.41,57
INTERCEPTIONS,1.47,90
BLOCKS,1.70,87
CLEARANCES,0.53,53
AERIAL_DUELS_WON,0.53,37
