Lirola,Pol,Marseille
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,83
NON_PEN_XG,0.08,84
TOTAL_SHOTS,0.61,53
ASSISTS,0.10,59
XA,0.13,80
NON_PEN_XG+XA,0.21,85
SHOT_CREATIONS,2.06,73
PASSES_ATTEMPTED,49.00,32
PASS_COMPLETION_PERCENTAGE,76.6,41
PROGRESSIVE_PASSES,2.99,25
PROGRESSIVE CARRIES,6.85,88
DRIBBLES_COMPLETED,1.90,94
TOUCHES_IN_AREA,2.80,89
PROGRESSIVE_PASSES_RECIEVED,4.44,95
PRESSURES,11.09,26
TACKLES,1.35,12
INTERCEPTIONS,1.80,65
BLOCKS,1.74,40
CLEARANCES,1.51,16
AERIAL_DUELS_WON,1.09,44
