González,Álvaro,Marseille
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.03,31
TOTAL_SHOTS,0.47,48
ASSISTS,0.07,92
XA,0.00,13
NON_PEN_XG+XA,0.03,14
SHOT_CREATIONS,0.40,29
PASSES_ATTEMPTED,70.27,90
PASS_COMPLETION_PERCENTAGE,92.2,92
PROGRESSIVE_PASSES,3.42,75
PROGRESSIVE CARRIES,5.13,92
DRIBBLES_COMPLETED,0.11,21
TOUCHES_IN_AREA,0.66,33
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,5.72,7
TACKLES,0.69,2
INTERCEPTIONS,1.27,15
BLOCKS,1.24,10
CLEARANCES,4.11,26
AERIAL_DUELS_WON,1.67,11
