Kamara,Boubacar,Marseille
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,30
NON_PEN_XG,0.03,17
TOTAL_SHOTS,0.69,33
ASSISTS,0.06,45
XA,0.05,34
NON_PEN_XG+XA,0.08,21
SHOT_CREATIONS,1.84,52
PASSES_ATTEMPTED,74.05,92
PASS_COMPLETION_PERCENTAGE,89.6,91
PROGRESSIVE_PASSES,4.51,67
PROGRESSIVE CARRIES,4.69,69
DRIBBLES_COMPLETED,0.83,56
TOUCHES_IN_AREA,1.12,52
PROGRESSIVE_PASSES_RECIEVED,1.90,58
PRESSURES,16.59,32
TACKLES,2.99,85
INTERCEPTIONS,1.47,38
BLOCKS,1.58,54
CLEARANCES,1.75,69
AERIAL_DUELS_WON,1.38,59
