López,Pau,Marseille
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.17,93
GOALS_CONCEDED,1.13,73
SAVE_PERCENTAGE,71.7,66
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,14.3,54
CLEAN_SHEET_PERCENTAGE,38.1,87
TOUCHES,40.25,79
LAUNCH_PERCENTAGE,27.2,9
GOAL_KICKS,5.64,9
AVG_GOAL_KICK_DISTANCE,33.7,14
CROSSES_STOPPED_PERCENTAGE,8.5,69
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.99,82
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.1,87
