Ünder,Cengiz,Marseille
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,57
NON_PEN_XG,0.21,52
TOTAL_SHOTS,3.05,91
ASSISTS,0.06,9
XA,0.23,80
NON_PEN_XG+XA,0.45,66
SHOT_CREATIONS,4.46,86
PASSES_ATTEMPTED,42.62,63
PASS_COMPLETION_PERCENTAGE,72.5,28
PROGRESSIVE_PASSES,3.99,71
PROGRESSIVE CARRIES,8.40,86
DRIBBLES_COMPLETED,1.59,49
TOUCHES_IN_AREA,5.69,82
PROGRESSIVE_PASSES_RECIEVED,8.92,92
PRESSURES,8.98,1
TACKLES,0.47,1
INTERCEPTIONS,0.53,15
BLOCKS,0.65,8
CLEARANCES,0.47,42
AERIAL_DUELS_WON,0.53,37
