Harit,Amine,Marseille
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,20
NON_PEN_XG,0.08,2
TOTAL_SHOTS,1.22,8
ASSISTS,0.20,58
XA,0.25,83
NON_PEN_XG+XA,0.33,36
SHOT_CREATIONS,4.07,81
PASSES_ATTEMPTED,40.24,57
PASS_COMPLETION_PERCENTAGE,79.4,71
PROGRESSIVE_PASSES,3.95,71
PROGRESSIVE CARRIES,7.36,76
DRIBBLES_COMPLETED,3.70,97
TOUCHES_IN_AREA,3.99,52
PROGRESSIVE_PASSES_RECIEVED,6.35,51
PRESSURES,14.89,39
TACKLES,1.22,38
INTERCEPTIONS,1.02,61
BLOCKS,0.45,3
CLEARANCES,0.37,30
AERIAL_DUELS_WON,0.24,12
