Guendouzi,Mattéo,Marseille
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,70
NON_PEN_XG,0.07,61
TOTAL_SHOTS,1.20,72
ASSISTS,0.12,74
XA,0.10,74
NON_PEN_XG+XA,0.17,69
SHOT_CREATIONS,2.43,76
PASSES_ATTEMPTED,57.96,71
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,6.12,90
PROGRESSIVE CARRIES,7.59,95
DRIBBLES_COMPLETED,0.88,59
TOUCHES_IN_AREA,2.49,89
PROGRESSIVE_PASSES_RECIEVED,3.08,84
PRESSURES,13.33,9
TACKLES,1.46,12
INTERCEPTIONS,0.97,12
BLOCKS,1.14,15
CLEARANCES,0.82,15
AERIAL_DUELS_WON,0.79,32
