Rongier,Valentin,Marseille
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,40
NON_PEN_XG,0.09,74
TOTAL_SHOTS,1.18,69
ASSISTS,0.08,61
XA,0.06,46
NON_PEN_XG+XA,0.16,60
SHOT_CREATIONS,2.23,68
PASSES_ATTEMPTED,84.45,96
PASS_COMPLETION_PERCENTAGE,88.9,87
PROGRESSIVE_PASSES,6.10,90
PROGRESSIVE CARRIES,7.57,94
DRIBBLES_COMPLETED,0.97,64
TOUCHES_IN_AREA,1.43,66
PROGRESSIVE_PASSES_RECIEVED,2.94,82
PRESSURES,21.73,82
TACKLES,4.62,99
INTERCEPTIONS,1.85,71
BLOCKS,1.35,31
CLEARANCES,0.80,14
AERIAL_DUELS_WON,1.18,50
